  9.61404      -12.3961      -11.5894    
  9.29441      -13.1782      -10.9015    
  8.43365      -12.9444      -10.5105    
  7.59070      -12.3621      -10.9148    
  7.24766      -11.3905      -11.2259    
  7.01837      -10.8100      -12.0361    
  6.50660      -10.8953      -12.9474    
  5.74955      -11.6125      -13.2394    
  4.88758      -12.2565      -13.5408    
  3.97441      -12.5960      -13.4153    
  3.66639      -12.8992      -12.7200    
  3.07759      -12.9555      -11.9328    
  3.44359      -12.2969      -11.3799    
  4.28179      -11.8577      -11.0085    
  4.17942      -10.7308      -10.8506    
  3.52378      -9.81850      -10.7720    
  2.75322      -9.41246      -11.2638    
  2.20703      -9.61016      -12.0781    
  1.60278      -9.47033      -12.8150    
 0.956721      -8.80927      -13.5700    
 0.683277      -8.03879      -14.1550    
 0.332128      -7.17550      -13.9519    
 0.606411      -6.38330      -13.3224    
  1.10936      -5.83617      -12.4504    
  1.12364      -4.93143      -11.9131    
  1.16910      -4.21158      -12.7444    
  1.10258      -4.29250      -13.6851    
 0.837577      -4.09358      -14.7928    
 0.183827      -3.50487      -14.9740    
-0.324278      -2.56639      -15.0097    
-0.365163      -1.47452      -14.7054    
 0.344897     -0.873814      -14.9553    
  1.05449     -0.443918      -14.3952    
  1.79906     -0.273342      -13.5787    
  2.80544      0.128617      -13.3954    
  3.75244      0.365063      -13.1904    
  4.54569     -0.429845E-02  -12.7379    
  5.50938     -0.637186      -12.5160    
  5.50482      -1.79254      -12.2147    
  4.35681      -1.83241      -11.9899    
  3.77704     -0.999102      -11.9409    
  3.61791     -0.124058      -11.9503    
  3.20002      0.755132      -12.3715    
  2.81123       1.03658      -13.2334    
  2.47005      0.963903      -13.9361    
  1.87390      0.521614      -14.5672    
  1.30178     -0.137216      -15.0206    
  1.41365      -1.17626      -15.1242    
  1.06138      -2.05183      -14.5461    
 0.737092      -2.80073      -14.1245    
-0.140474      -3.49238      -14.0295    
 0.559064E-02  -4.50345      -13.9947    
 0.461611      -5.26191      -13.9811    
  1.04760      -5.88136      -13.9029    
  1.78976      -6.35335      -14.3686    
  1.80667      -7.24813      -14.0369    
  1.81968      -8.15274      -13.4929    
  2.16138      -7.94825      -12.5875    
  1.51304      -8.27242      -11.7464    
 0.666264      -8.62547      -11.2420    
-0.147875E-01  -9.21751      -11.1383    
-0.827168      -9.53010      -11.0275    
 -1.85490      -9.32080      -11.0709    
 -2.72846      -9.21749      -11.5891    
 -3.47283      -9.10248      -12.1943    
 -3.84167      -8.55982      -13.2055    
 -3.84258      -7.85477      -14.0556    
 -4.26665      -7.53653      -15.0353    
 -4.88117      -6.83115      -15.6650    
 -5.31051      -6.06550      -15.1184    
 -5.52444      -6.36353      -14.2215    
 -5.82253      -7.31000      -14.1329    
 -5.32181      -8.36055      -14.5035    
 -4.39928      -9.04937      -14.4756    
 -3.43079      -9.19287      -14.1796    
 -2.90863      -8.85110      -13.5972    
 -2.74019      -8.47699      -12.7608    
 -2.10368      -8.09624      -12.0525    
 -1.53054      -8.15858      -11.0458    
 -1.18397      -8.57875      -10.2352    
 -1.02014      -8.97904      -9.25451    
 -1.34705      -8.71668      -8.40118    
 -1.71402      -8.94652      -7.41351    
 -2.40615      -9.26635      -6.60076    
 -2.34143      -9.78551      -5.69703    
 -2.71422      -10.6271      -5.18424    
 -2.94300      -10.5829      -4.27344    
 -2.61982      -10.0070      -3.81318    
 -1.82387      -9.42138      -4.24832    
 -1.08593      -9.21349      -4.83242    
 -1.52335      -9.40666      -5.68204    
 -1.72794      -9.93435      -6.25185    
 -1.92468      -10.1788      -7.16878    
 -2.44723      -9.88899      -8.31267    
 -2.08983      -9.39426      -9.07101    
 -1.75477      -8.49775      -9.14581    
 -1.37846      -7.50145      -9.27129    
-0.927730      -6.57173      -9.40265    
 -1.10331      -5.59836      -9.83279    
 -1.64446      -5.13509      -10.4743    
 -2.69622      -4.77353      -10.8321    
 -3.28186      -4.13465      -10.9023    
 -3.95728      -3.68455      -10.3295    
 -3.98240      -2.78316      -10.0148    
 -3.39882      -1.98263      -10.6445    
 -2.50891      -2.74069      -10.4403    
 -1.96545      -3.38763      -9.92518    
 -1.90759      -4.18668      -9.56358    
 -2.17143      -4.93845      -9.52374    
 -2.72397      -5.86882      -9.66055    
 -2.14174      -6.64556      -9.71909    
 -1.25393      -7.08078      -10.3186    
-0.523848      -7.80844      -10.2347    
 0.344274      -8.34786      -10.2967    
  1.37754      -8.44119      -10.1755    
  2.11589      -8.93919      -9.82808    
  2.99201      -9.33355      -9.69585    
  3.93432      -9.41227      -10.2181    
  4.77313      -8.63416      -10.4197    
  5.41663      -7.86883      -10.3050    
  5.80256      -6.94612      -10.0327    
  5.72410      -6.05681      -9.83925    
  5.83352      -5.55521      -9.05162    
  6.17011      -5.30213      -8.15928    
  6.43909      -5.11644      -7.13703    
  7.27244      -5.46928      -6.95748    
  7.29910      -6.22305      -7.71781    
  6.24825      -6.33456      -8.19056    
  5.40841      -6.63580      -8.69549    
  4.71478      -7.31989      -9.22251    
  3.89424      -7.30605      -9.59973    
  3.19894      -7.92049      -10.2723    
  2.49009      -8.42526      -10.6988    
  1.70052      -9.20313      -10.5471    
  1.88494      -10.1610      -10.5109    
  2.35623      -10.8117      -10.8529    
  2.99121      -11.1367      -11.5624    
  3.77027      -11.8409      -12.0136    
  4.59807      -12.0461      -12.3253    
  5.71820      -12.0621      -12.1995    
  6.56183      -12.2899      -12.2464    
  7.71689      -12.0198      -12.0978    
  8.64133      -11.8983      -11.6234    
